FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,INTPTLAT10,INTPTLON10,State,COUNTY,HH_COUNT,OHU_OWN,OHU_RENT,PERC_OWN,PERC_RENT,MHI,MED_VAL,HOUSINGCOS,MCR_ANNUAL,MSMOC_TOT_,TAX_RET,Avg_TransC,REtaxperow,DISP_INC,energy_cos,REtax_ACS,AVG_TTL,LOCALNAME,Shape_Area
0,34,17,32400,34017032400,40.7928438,-74.0134817,New Jersey,Hudson County,2187,453,1543,0.226953908,0.773046092,37234,414000,14075.6994,11532,22740,2264.889916,4145.566539,4966.370331,12232.0095,1773.280152,7735,5007.444405,West New York Town,3.62E-05
1,34,17,10100,34017010100,40.6915587,-74.1109135,New Jersey,Hudson County,2255,867,1353,0.390540541,0.609459459,53614,424400,17543.1405,10968,27804,2363.430717,5969.286255,4490.984109,22077.84024,1876.844806,7917,6146.888195,Bayonne City,0.000105572
2,34,17,10200,34017010200,40.6821027,-74.1045734,New Jersey,Hudson County,1218,622,686,0.475535168,0.524464832,54020,328300,19156.2936,11076,28068,1260.718928,6014.489564,3339.22458,20488.60531,2167.175106,7692,6193.436421,Bayonne City,3.13E-05
3,34,17,10300,34017010300,40.6724389,-74.0810163,New Jersey,Hudson County,1093,534,629,0.459157352,0.540842648,43101,363000,15682.0705,9792,22620,1229.562591,4798.787758,3793.386763,15514.61337,2163.964082,7831,4941.564294,Bayonne City,0.000107821
4,34,17,10400,34017010400,40.6705993,-74.0899401,New Jersey,Hudson County,1571,813,785,0.508760951,0.491239049,68368,365600,15672.0976,10440,20724,2209.874484,7611.970058,4478.110461,35131.00534,2114.480847,7918,7838.446154,Bayonne City,0.000234436
5,34,17,10500,34017010500,40.6828016,-74.1144977,New Jersey,Hudson County,2126,928,1208,0.434456929,0.565543071,57255,373700,15935.1011,10560,22932,2401.263412,6374.668641,4262.943411,26533.77878,1847.11971,8563,6564.331771,Bayonne City,9.63E-05
6,34,17,10600,34017010600,40.6703152,-74.126465,New Jersey,Hudson County,2860,960,1859,0.340546293,0.659453707,44093,351000,12251.1486,8892,18756,3211.328178,4909.235253,5511.009976,20068.55733,1808.760929,7622,5055.297892,Bayonne City,6.35E-05
7,34,17,10700,34017010700,40.668187,-74.1139605,New Jersey,Hudson County,1457,543,919,0.371409029,0.628590971,35984,348000,16411.2066,10020,27228,2935.372049,4006.393789,8905.966662,9521.31211,1919.492978,7723,4125.594524,Bayonne City,4.09E-05
8,34,17,10800,34017010800,40.6620572,-74.0966475,New Jersey,Hudson County,1214,726,520,0.582664526,0.417335474,80156,362300,14468.1284,10224,17508,1329.70796,8924.424759,3017.431279,45263.96035,2309.536658,7534,9189.949829,Bayonne City,0.000489058
9,34,17,10900,34017010900,40.6611585,-74.1183391,New Jersey,Hudson County,884,191,686,0.217787913,0.782212087,24911,368800,12730.9738,8424,28200,1069.33,2773.5459,9223.507896,4872.965641,1677.448486,9901,2856.066173,Bayonne City,3.03E-05
10,34,17,11000,34017011000,40.6628838,-74.1207906,New Jersey,Hudson County,847,187,714,0.20754717,0.79245283,49618,289500,13229.8868,10824,22416,1087.133621,5524.378808,9577.652166,23291.68331,1883.307503,5632,5688.743583,Bayonne City,2.16E-05
11,34,17,11100,34017011100,40.6647321,-74.1276411,New Jersey,Hudson County,1690,316,1318,0.193390453,0.806609547,45372,372900,12218.5116,11028,17184,1959.511061,5051.63681,10215.94102,20961.25646,1938.658864,8419,5201.93627,Bayonne City,3.00E-05
12,34,17,11200,34017011200,40.6568214,-74.1372808,New Jersey,Hudson County,2497,1411,1061,0.57079288,0.42920712,74375,412600,20513.199,11328,27420,2656.077741,8280.778625,3101.212378,34957.37532,2096.493518,8996,8527.153532,Bayonne City,8.68E-05
13,34,17,11300,34017011300,40.6567503,-74.124649,New Jersey,Hudson County,1180,471,627,0.428961749,0.571038251,50357,297800,11856.3607,9576,14892,1443.206045,5606.657737,5048.067721,25202.30538,1918.205658,7282,5773.470527,Bayonne City,3.03E-05
14,34,17,11400,34017011400,40.649241,-74.1248445,New Jersey,Hudson County,1340,651,582,0.527980535,0.472019465,63701,340500,12748.9051,10392,14856,1349.737034,7092.354678,3415.748732,34451.06285,2105.306519,7102,7303.370853,Bayonne City,6.51E-05
15,34,17,11500,34017011500,40.6480992,-74.1425616,New Jersey,Hudson County,1228,523,686,0.432588916,0.567411084,65781,391200,17654.1042,10044,27636,1335.271592,7323.938134,4206.158757,31169.25808,2091.855057,8371,7541.844524,Bayonne City,9.73E-05
16,34,17,11600,34017011600,40.6454191,-74.1338113,New Jersey,Hudson County,1777,573,1199,0.323363431,0.676636569,47021,349400,12281.6411,8832,19500,2006.245566,5235.233502,5768.291619,22312.28399,1800.845964,6592,5390.995445,Bayonne City,4.47E-05
17,34,17,2000,34017002000,40.7307656,-74.0655913,New Jersey,Hudson County,1884,197,1547,0.112958716,0.887041284,39375,385100,9998.1606,9540,13596,3340.281268,4383.941625,9983.203145,19605.48063,1386.738679,6497,4000.678465,Jersey City,3.29E-05
18,34,17,2200,34017002200,40.7253929,-74.050373,New Jersey,Hudson County,854,340,476,0.416666667,0.583333333,62823,358100,15371,12036,20040,757.0804285,6994.599739,3046.803109,27755.40986,1532.421525,6433,11169.56887,Jersey City,1.59E-05
19,34,17,2300,34017002300,40.7235905,-74.0476909,New Jersey,Hudson County,1073,376,655,0.364694471,0.635305529,72313,440900,19168.4811,13488,29064,954.8314912,8051.199257,3474.722903,30594.58021,1641.903019,5520,12856.83641,Jersey City,1.54E-05
20,34,17,2400,34017002400,40.7265796,-74.0452694,New Jersey,Hudson County,1207,473,660,0.417475728,0.582524272,89849,597600,24449.9417,17772,33768,992.8923652,10003.62593,2872.25053,37706.10776,1714.688039,6986,15974.63657,Jersey City,1.70E-05
21,34,17,2700,34017002700,40.7313836,-74.0786266,New Jersey,Hudson County,1559,607,811,0.428067701,0.571932299,57000,318900,15575.2553,10572,22260,2017.00323,6346.2774,1956.460118,27318.94126,1968.06769,5906,5791.458349,Jersey City,0.000115761
22,34,17,2800,34017002800,40.7266459,-74.0731508,New Jersey,Hudson County,2226,500,1683,0.229042602,0.770957398,29310,291300,12672.066,8640,26244,2528.76978,3263.322642,3033.253569,9074.362611,1478.65892,4426,2821.589828,Jersey City,3.15E-05
23,34,17,2900,34017002900,40.7281629,-74.0694432,New Jersey,Hudson County,1441,506,853,0.372332597,0.627667403,61875,284000,14111.8146,11364,18744,1805.677055,6889.051125,2101.080341,32965.8603,1621.493535,4453,6286.780444,Jersey City,2.18E-05
24,34,17,3000,34017003000,40.7241317,-74.0670989,New Jersey,Hudson County,1223,195,1189,0.140895954,0.859104046,27083,362300,9581.7919,8520,16056,1629.489926,3015.372471,4961.782214,10248.75026,1551.132719,5670,2685.952648,Jersey City,2.62E-05
25,34,17,3100,34017003100,40.7226117,-74.0641654,New Jersey,Hudson County,1604,148,1126,0.116169545,0.883830455,32609,407700,9408.2261,8760,14340,1770.830908,3630.627364,8256.712065,14689.87193,1522.464997,5539,3357.809614,Jersey City,2.78E-05
26,34,17,3500,34017003500,40.7198114,-74.0489344,New Jersey,Hudson County,959,312,730,0.299424184,0.700575816,77632,675000,20979.6852,16032,32556,953.1766706,8643.407142,4180.229234,32497.9508,1708.432771,8532,13802.52409,Jersey City,9.53E-06
27,34,17,4000,34017004000,40.7290916,-74.0915756,New Jersey,Hudson County,1783,696,979,0.415522388,0.584477612,57066,336500,16754.2639,11040,24792,1824.572018,6353.625721,1617.708497,26931.10945,2014.952398,6437,5012.048526,Jersey City,0.000172844
28,34,17,4101,34017004101,40.7219777,-74.07621,New Jersey,Hudson County,2468,554,2085,0.209928003,0.790071997,34839,277500,12758.028,9924,23424,3131.125895,3878.91155,3487.135733,13480.06395,1660.426822,4623,3061.569682,Jersey City,4.02E-05
29,34,17,4102,34017004102,40.7197038,-74.0710178,New Jersey,Hudson County,1033,299,778,0.277623027,0.722376973,43720,357000,14582.1058,11184,23424,1975.929468,4867.706104,4077.804798,18492.37501,1937.255638,5181,3840.557448,Jersey City,2.53E-05
30,34,17,4200,34017004200,40.7178344,-74.0795515,New Jersey,Hudson County,1592,395,1116,0.261416281,0.738583719,36080,312700,11885.869,9828,17700,1793.001261,4017.082256,2801.121813,15042.2573,1965.921871,4759,3168.869569,Jersey City,3.17E-05
31,34,17,4300,34017004300,40.716454,-74.0709263,New Jersey,Hudson County,919,395,521,0.431222707,0.568777293,39764,301400,14372.2009,8856,21648,1050.544151,4427.252185,1641.215877,15403.34716,2068.768232,3500,3492.431528,Jersey City,2.35E-05
32,34,17,4400,34017004400,40.714421,-74.0765644,New Jersey,Hudson County,985,223,782,0.221890547,0.778109453,27650,273000,9259.0806,7752,14544,1130.015367,3078.50123,3127.000729,11033.85649,1850.09041,3753,2428.471275,Jersey City,1.72E-05
33,34,17,4500,34017004500,40.7112773,-74.0724571,New Jersey,Hudson County,1378,519,683,0.431780366,0.568219634,39851,294900,14286.9584,9660,20376,1561.599954,4436.938608,2563.630086,15001.93786,2225.051429,4391,3900.113701,Jersey City,4.14E-05
34,34,17,4600,34017004600,40.7102178,-74.0675922,New Jersey,Hudson County,796,363,434,0.455457967,0.544542033,30288,269700,17892.527,11640,25368,812.1305046,3372.211402,1380.599445,4310.274155,2052.823321,3750,2660.164122,Jersey City,4.89E-05
35,34,17,4700,34017004700,40.7084734,-74.0626134,New Jersey,Hudson County,977,199,600,0.249061327,0.750938673,44622,383700,12743.174,10932,18204,1192.068234,4968.13316,3696.549573,20848.51504,2143.073091,3016,3919.104709,Jersey City,9.44E-05
36,34,17,4800,34017004800,40.7205437,-74.0956093,New Jersey,Hudson County,1442,614,579,0.514668902,0.485331098,69088,362000,18031.0109,9996,25608,1641.601828,7692.133562,2063.603894,34678.38555,2161.719726,5660,6524.750264,Jersey City,0.000100248
37,34,17,4900,34017004900,40.7137145,-74.0849328,New Jersey,Hudson County,1328,686,507,0.575020956,0.424979044,47344,329300,18212.9623,11016,23532,1505.191147,5271.195741,2042.090529,16925.9984,2141.267755,5206,4792.575806,Jersey City,3.94E-05
38,34,17,5200,34017005200,40.7089087,-74.085223,New Jersey,Hudson County,1592,347,1170,0.228740936,0.771259064,36146,345900,12643.2063,9396,23592,2111.758708,4024.430577,6751.940811,13562.68316,1980.56109,5295,3935.11887,Jersey City,4.01E-05
39,34,17,5300,34017005300,40.7041086,-74.0756864,New Jersey,Hudson County,1043,360,572,0.386266094,0.613733906,52368,324600,16288.0172,11676,23616,1130.270854,5830.558858,3483.323707,22375.20887,2173.05021,4338,5701.164859,Jersey City,4.10E-05
40,34,17,5400,34017005400,40.7085963,-74.1042248,New Jersey,Hudson County,2378,1740,655,0.72651357,0.27348643,98272,359100,23512.1086,10740,28320,2999.657255,10941.42759,1912.653035,50802.67246,2317.180114,5534,10698.61123,Jersey City,0.000154102
41,34,17,5500,34017005500,40.7043624,-74.0834033,New Jersey,Hudson County,818,257,411,0.384730539,0.615269461,53095,367900,18393.6826,10716,30672,1067.877983,5911.501729,4610.01477,20790.04771,2219.456543,5453,5780.311415,Jersey City,2.31E-05
42,34,17,5600,34017005600,40.7059678,-74.091362,New Jersey,Hudson County,1243,387,874,0.306899286,0.693100714,40339,330300,15259.5274,11028,24816,1343.84645,4491.27165,3852.587322,14262.83631,1933.765014,5424,4391.599626,Jersey City,2.47E-05
43,34,17,5801,34017005801,40.7000594,-74.0826251,New Jersey,Hudson County,1780,734,1105,0.399129962,0.600870038,38802,332400,13412.385,9552,19224,2235.344587,4320.144836,3378.798,14881.59011,1963.609533,4328,4224.270525,Jersey City,4.78E-05
44,34,17,5802,34017005802,40.6870152,-74.0707705,New Jersey,Hudson County,735,637,229,0.73556582,0.26443418,175625,746500,39833.8476,22092,46212,1455.4337,19553.77138,2534.93485,94500.70808,2616.846368,8689,19119.82658,Jersey City,0.000524251
45,34,17,5900,34017005900,40.7029458,-74.0960032,New Jersey,Hudson County,2558,1391,935,0.598022356,0.401977644,80473,384900,21529.589,11124,28524,2948.063151,8959.718969,2351.383465,39006.31363,2216.49695,7065,8760.881448,Jersey City,6.63E-05
46,34,17,6000,34017006000,40.6987682,-74.089415,New Jersey,Hudson County,1520,482,864,0.358098068,0.641901932,39716,348500,16657.9435,10788,27180,1799.794353,4421.907951,4142.758855,12209.78598,2102.587298,3785,4323.775274,Jersey City,4.06E-05
47,34,17,6100,34017006100,40.6943499,-74.100055,New Jersey,Hudson County,2365,1094,1310,0.455074875,0.544925125,50324,369000,17578.6123,10332,26256,2930.903415,5602.983577,3012.283284,19328.06108,2327.636759,6652,5486.706288,Jersey City,8.33E-05
48,34,17,6200,34017006200,40.6960285,-74.0948277,New Jersey,Hudson County,1404,371,1027,0.265379113,0.734620887,31077,265900,12702.6352,9948,20328,1763.798466,3460.057241,5274.591841,9618.817915,1912.219319,5374,3383.270324,Jersey City,2.87E-05
49,34,17,6300,34017006300,40.6909074,-74.0921846,New Jersey,Hudson County,1663,709,932,0.432053626,0.567946374,46701,346400,16136.3729,9780,24492,1965.375434,5199.605278,3075.481336,18251.33731,2029.470868,4973,5084.213643,Jersey City,7.21E-05
50,34,17,13400,34017013400,40.7519651,-74.1622016,New Jersey,Hudson County,759,232,514,0.310991957,0.689008043,54722,364200,14920.3753,11028,23544,850.0104502,6092.64898,2664.106026,26165.1491,2033.194863,5657,5510.631755,East Newark Borough,2.96E-05
51,34,17,13500,34017013500,40.7505658,-74.1506291,New Jersey,Hudson County,1627,377,1242,0.23285979,0.76714021,50991,356300,13209.8505,10776,21228,2091.190023,5677.246156,4091.582701,24910.91013,2057.899103,6363,5135.094112,Harrison Town,5.81E-05
52,34,17,13600,34017013600,40.748223,-74.1565371,New Jersey,Hudson County,711,225,431,0.342987805,0.657012195,40071,422200,21782.6341,12168,40200,843.4212219,4461.433012,2725.694834,7911.279242,1880.41142,7559,4035.242225,Harrison Town,1.42E-05
53,34,17,13700,34017013700,40.7472098,-74.162337,New Jersey,Hudson County,850,285,495,0.365384615,0.634615385,44130,354000,16998.2308,10680,27972,1124.122347,4913.354766,2868.031694,15687.77429,2086.647247,5978,4443.992898,Harrison Town,2.21E-05
54,34,17,14200,34017014200,40.7962258,-74.0046962,New Jersey,Hudson County,2009,779,1200,0.393633148,0.606366852,55492,412200,17066.2678,11568,25536,2443.037529,6178.379394,3319.035125,24365.1765,1888.140961,7093,5994.035341,North Bergen Township,3.55E-05
55,34,17,14300,34017014300,40.8013623,-74.0100882,New Jersey,Hudson County,1821,837,930,0.473684211,0.526315789,52719,457600,17072.2105,11388,23388,2708.693033,5869.638566,3424.944201,21890.76184,2191.882698,6955,5694.5064,North Bergen Township,4.27E-05
56,34,17,15100,34017015100,40.7962219,-74.012517,New Jersey,Hudson County,973,473,656,0.418954827,0.581045173,48750,347000,15712.6023,11208,21960,967.9618547,5427.73725,2033.959814,18984.37725,2080.684502,7052,6544.598697,Guttenberg Town,1.90E-05
57,34,17,13800,34017013800,40.7397281,-74.1588123,New Jersey,Hudson County,692,283,364,0.4374034,0.5625966,61518,270800,17991.357,12816,24648,1379.784405,6849.303388,3545.194128,28418.48918,2063.845781,6169,6195.004647,Harrison Town,8.27E-05
58,34,17,13900,34017013900,40.7386297,-74.1514529,New Jersey,Hudson County,989,240,640,0.272727273,0.727272727,59275,283300,15597.8182,13320,21672,1928.660284,6599.571805,5898.19219,28899.48067,2208.861811,5753,5969.267514,Harrison Town,0.000157363
59,34,17,18400,34017018400,40.7539476,-74.0314132,New Jersey,Hudson County,2342,1083,1382,0.439350913,0.560649087,117697,665700,27145.0369,21024,34956,2559.65768,13104.17213,5175.093403,52642.51234,1939.652278,8525,22865.62636,Hoboken City,6.10E-05
60,34,17,18500,34017018500,40.7484088,-74.0347138,New Jersey,Hudson County,3082,988,1499,0.397265782,0.602734218,111806,486700,24072.8975,18624,32340,3801.368015,12448.27879,8424.569794,51655.61188,1908.061582,7266,21721.15025,Hoboken City,3.84E-05
61,34,17,18600,34017018600,40.7468564,-74.0302385,New Jersey,Hudson County,1215,372,866,0.300484653,0.699515347,86891,498400,20592.1357,16788,29448,1230.274782,9674.287536,7241.423437,37904.28263,1839.514337,7619,16880.7798,Hoboken City,1.01E-05
62,34,17,18800,34017018800,40.7421105,-74.0318012,New Jersey,Hudson County,1788,468,1172,0.285365854,0.714634146,90417,541700,20989.961,16980,31032,1777.275344,10066.86603,8315.2177,40259.133,1535.245273,8382,17565.7947,Hoboken City,1.77E-05
63,34,17,18900,34017018900,40.7445637,-74.0360846,New Jersey,Hudson County,1857,448,1264,0.261682243,0.738317757,96667,532400,18529.6822,13452,32856,1968.820837,10762.72978,9622.611322,46899.08594,1695.486417,7782,18780.01566,Hoboken City,2.10E-05
64,34,17,19000,34017019000,40.7425844,-74.038747,New Jersey,Hudson County,2194,417,1876,0.181857828,0.818142172,58631,376300,12681.6136,8616,30972,2368.112188,6527.870004,12434.57594,26379.42752,1651.530588,4846,11390.55829,Hoboken City,2.36E-05
65,34,17,19100,34017019100,40.7399172,-74.0371493,New Jersey,Hudson County,1960,337,1510,0.18245804,0.81754196,84335,395100,18884.1927,16548,29352,2008.845268,9389.707097,13052.12867,38031.64982,1645.238389,5924,16384.21199,Hoboken City,1.63E-05
66,34,17,19200,34017019200,40.7379085,-74.0398446,New Jersey,Hudson County,1942,924,840,0.523809524,0.476190476,158158,580300,29408,23292,34968,2045.057849,17609.02704,4846.167127,78131.48138,2283.29012,8152,30726.20146,Hoboken City,3.00E-05
67,34,17,19300,34017019300,40.7370811,-74.0319108,New Jersey,Hudson County,1584,431,1144,0.273650794,0.726349206,81827,464800,21776.0533,18420,30684,2660.671721,9110.470891,13516.95241,33424.93624,1618.570163,6477,15896.9694,Hoboken City,1.57E-05
68,34,17,19400,34017019400,40.7392323,-74.0296934,New Jersey,Hudson County,1565,198,1055,0.15802075,0.84197925,91875,565100,21912.4501,19764,33360,1382.748807,10229.19713,15291.24557,40206.79584,1677.508775,6744,17849.04816,Hoboken City,1.16E-05
69,34,17,100,34017000100,40.7560012,-74.0515293,New Jersey,Hudson County,2005,1133,969,0.539010466,0.460989534,56389,342900,20367.8763,12936,26724,2315.749839,6278.24976,1590.448992,21844.06438,2229.42983,5698,5669.379732,Jersey City,5.50E-05
70,34,17,200,34017000200,40.7532475,-74.046918,New Jersey,Hudson County,1958,523,1377,0.275263158,0.724736842,38438,275500,15331.4779,10020,29316,2479.415703,4279.617732,3688.974653,13104.31563,1858.011989,5551,3864.576746,Jersey City,2.82E-05
71,34,17,300,34017000300,40.7503173,-74.0425321,New Jersey,Hudson County,1615,432,1136,0.275510204,0.724489796,46033,409300,15820.2857,11724,26592,1843.073052,5125.231361,3319.837415,18518.35032,1940.950581,5437,4628.182043,Jersey City,3.28E-05
72,34,17,400,34017000400,40.7497682,-74.0584574,New Jersey,Hudson County,1347,551,783,0.413043478,0.586956522,70586,366000,18948.5217,13080,27288,1606.123965,7858.918185,2268.22157,34533.87503,2147.9315,7152,7096.753583,Jersey City,4.95E-05
73,34,17,500,34017000500,40.7499137,-74.0513531,New Jersey,Hudson County,1497,389,1091,0.262837838,0.737162162,52147,413200,12788.9351,10272,19848,1896.814082,5805.953115,3794.313199,26328.21317,1981.011792,6124,5242.88682,Jersey City,2.34E-05
74,34,17,700,34017000700,40.746148,-74.0469441,New Jersey,Hudson County,1345,379,1002,0.274438812,0.725561188,48795,366500,16273.1731,11712,28332,2398.804158,5432.747469,4925.083474,20328.21399,1854.990466,5960,4905.874976,Jersey City,2.46E-05
75,34,17,800,34017000800,40.7440709,-74.0440174,New Jersey,Hudson County,1520,498,1081,0.315389487,0.684610513,65444,376000,18852.6384,13380,30732,2248.573551,7286.417161,3513.466103,31017.50465,1707.665597,5934,6579.774197,Jersey City,3.55E-05
76,34,17,902,34017000902,40.7399461,-74.0623933,New Jersey,Hudson County,2711,764,1913,0.285394098,0.714605902,35977,326600,13926.2443,8796,26772,3119.112283,4005.614421,2404.060749,12849.11103,1540.618976,5046,3655.411274,Jersey City,5.59E-05
77,34,17,1000,34017001000,40.7446435,-74.0589998,New Jersey,Hudson County,737,383,329,0.537921348,0.462078652,59625,314600,10825.8876,9948,11580,822.5205749,6638.540175,1481.841695,34290.85028,1845.465898,6202,6024.256044,Jersey City,1.35E-05
78,34,17,1100,34017001100,40.73934,-74.056213,New Jersey,Hudson County,1929,936,1008,0.481481481,0.518518519,53174,362800,17705.7778,12240,23592,2256.555358,5920.297447,1748.839963,22123.30832,2062.717775,6001,5361.898659,Jersey City,5.76E-05
79,34,17,1201,34017001201,40.7369135,-74.0563237,New Jersey,Hudson County,758,220,491,0.309423347,0.690576653,68355,374800,13142.3629,10740,18504,857.4753173,7610.522661,2294.838056,38644.40093,2012.535692,8185,6945.177815,Jersey City,1.48E-05
80,34,17,1202,34017001202,40.7321847,-74.0555208,New Jersey,Hudson County,530,156,481,0.244897959,0.755102041,19150,370000,9008.5714,8268,11292,647.2555621,2132.12653,2442.892124,4378.503284,1685.07199,4917,1945.726796,Jersey City,2.42E-05
81,34,17,1300,34017001300,40.7381069,-74.0470516,New Jersey,Hudson County,1047,210,839,0.200190658,0.799809342,48884,327000,13352.9342,11532,20628,1347.10116,5442.656569,4800.036321,23374.58046,1790.803459,6095,4923.025311,Jersey City,3.48E-05
82,34,17,1400,34017001400,40.7344893,-74.0521281,New Jersey,Hudson County,1409,376,1138,0.248348745,0.751651255,50675,341900,14426.4571,10284,26964,1537.923472,5642.063285,2408.241172,23733.34762,1724.32231,6204,5148.809681,Jersey City,2.52E-05
83,34,17,1800,34017001800,40.7343894,-74.0699803,New Jersey,Hudson County,1557,193,1323,0.127308707,0.872691293,20820,426900,11164.876,8580,28884,1802.357796,2318.061324,5498.405901,3665.884995,1555.771315,7285,2115.406365,Jersey City,2.27E-05
84,34,17,1900,34017001900,40.7333187,-74.0621589,New Jersey,Hudson County,621,96,572,0.143712575,0.856287425,31543,247900,10228.0958,9540,14328,712.5343282,3511.940843,4370.062578,13218.94586,1379.10573,4917,3204.911767,Jersey City,2.46E-05
85,34,35,52904,34035052904,40.6730889,-74.6863249,New Jersey,Somerset County,857,787,57,0.932464455,0.067535545,108269,878200,28091.4455,20628,28632,1600.338734,19578.18583,8737.258731,36299.80856,3256.613227,9844,21042.94689,Bedminster Township,0.006853939
86,34,35,54300,34035054300,40.5139308,-74.5266715,New Jersey,Somerset County,4009,3373,485,0.874287195,0.125712805,87071,374800,21441.8227,11412,22884,5693.369406,15744.97057,5352.880489,36282.54704,2450.845326,6911,11150.81437,Franklin Township,0.001504174
87,34,35,53403,34035053403,40.4375387,-74.5490772,New Jersey,Somerset County,2097,1718,389,0.815377314,0.184622686,89347,238100,20898.6236,18384,21468,2784.789969,16156.5376,5526.162484,38150.25872,2259.513926,4600,11882.06616,Franklin Township,0.000226421
88,34,35,53603,34035053603,40.5786089,-74.6956739,New Jersey,Somerset County,1737,1629,82,0.95207481,0.04792519,119043,461900,27711.9275,16824,28260,2124.435921,21526.43855,4860.83624,49774.84193,3044.585435,8569,16985.20658,Branchburg Township,0.001218225
89,34,35,53905,34035053905,40.4546948,-74.6300524,New Jersey,Somerset County,2243,1392,611,0.694957564,0.305042436,122793,651500,34732.1458,20088,41160,2640.539795,22204.54768,13919.90122,39459.09871,3103.068514,10000,23294.1393,Montgomery Township,0.000924661
90,34,35,54202,34035054202,40.4323112,-74.6930034,New Jersey,Somerset County,1527,1378,13,0.990654206,0.009345794,180089,658100,42059.215,0,42456,2773.331603,32565.33179,17386.50634,65317.22243,3785.944369,10000,36361.28641,Montgomery Township,0.004545332
91,34,35,54201,34035054201,40.3974841,-74.6878783,New Jersey,Somerset County,2815,2085,455,0.820866142,0.179133858,133904,509100,32572.1102,17304,35904,3384.012813,24213.73981,13529.974,46119.69319,3077.238715,10000,27921.21809,Montgomery Township,0.002257595
92,34,35,50704,34035050704,40.5791368,-74.6717188,New Jersey,Somerset County,2586,2337,168,0.932934132,0.067065868,108447,388300,27542.7737,19068,28152,3356.575569,19610.37341,6700.521825,40907.90407,2875.434122,6622,17510.5147,Bridgewater Township,0.000520839
93,34,35,53707,34035053707,40.5262337,-74.6952206,New Jersey,Somerset County,1153,974,35,0.96531219,0.03468781,126411,532600,28332.7374,24012,28488,1248.373283,22858.78736,6037.435078,52707.38372,3526.546626,9591,18985.54489,Hillsborough Township,0.001660812
94,34,35,52204,34035052204,40.6328099,-74.5428933,New Jersey,Somerset County,1564,1362,125,0.91593813,0.08406187,183287,884000,40241.7297,13500,42696,2167.342533,33143.62325,12415.74828,66756.56597,3900.621454,10000,39244.45963,Warren Township,0.001794023
95,34,35,53904,34035053904,40.4366562,-74.6394624,New Jersey,Somerset County,1050,935,33,0.965909091,0.034090909,164643,714300,46701,21456,47592,1228.729328,29772.24551,10031.77262,52548.76421,3931.176868,10000,31689.81341,Montgomery Township,0.001199613
96,34,35,53404,34035053404,40.4710477,-74.5402522,New Jersey,Somerset County,3810,2123,1673,0.559272919,0.440727081,95112,464300,24438.1391,13284,33228,4978.875675,17199.01736,7696.926266,38747.39914,2480.8322,8716,12246.6122,Franklin Township,0.003754391
97,34,35,53604,34035053604,40.6103669,-74.6989791,New Jersey,Somerset County,1449,1443,40,0.973027647,0.026972353,112813,413100,26523.6817,7176,27060,1711.123086,20399.87326,4427.971385,46911.13638,2873.147784,7071,16105.16087,Branchburg Township,0.001441477
98,34,29,720001,34029720001,39.9069562,-74.3979539,New Jersey,Ocean County,2106,1882,244,0.88523048,0.11476952,46705,173100,14950.7808,24012,13776,1953.176555,8627.296224,1420.651243,16566.52918,2167.494957,3066,4392.898841,Manchester Township,0.003734523
99,34,29,732103,34029732103,39.8356424,-74.1703065,New Jersey,Ocean County,1065,921,99,0.902941176,0.097058824,64444,373600,18382.9059,16140,18624,1411.020712,11904.02479,3589.453608,24515.96616,2653.755791,5727,6987.347359,Lacey Township,0.000701846
100,34,29,735101,34029735101,39.6902406,-74.2863127,New Jersey,Ocean County,1120,963,123,0.886740331,0.113259669,43167,250300,11354.9503,3768,12324,1353.630733,7973.760756,3869.940371,16734.00677,2370.599259,5234,4733.682917,Stafford Township,0.000960929
101,34,29,980000,34029980000,39.8334756,-74.091124,New Jersey,Ocean County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berkeley Township,0.00107284
102,34,29,980100,34029980100,39.5437758,-74.3240186,New Jersey,Ocean County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Little Egg Harbor Townsh*,0.002289107
103,34,29,722002,34029722002,40.0158034,-74.2242327,New Jersey,Ocean County,3165,2949,195,0.937977099,0.062022901,52714,246900,12535.958,7212,12888,4053.097516,9737.272095,3735.226592,21232.89554,2458.087919,4458,6749.786442,Toms River Township,0.001126875
104,34,29,732104,34029732104,39.8222995,-74.1607986,New Jersey,Ocean County,1704,1430,204,0.875152999,0.124847001,70500,266200,17606.8788,18300,17508,2294.488157,13022.68245,3759.277361,29659.82728,2566.641683,3616,7643.969785,Lacey Township,0.000666932
105,34,29,735001,34029735001,39.7446816,-74.292351,New Jersey,Ocean County,2442,2148,145,0.936764065,0.063235935,68175,303900,18462.8295,18564,18456,2325.509656,12593.21101,2936.229775,27181.99521,2819.604499,4386,7117.359786,Stafford Township,0.000438492
106,34,29,735002,34029735002,39.7303716,-74.3263735,New Jersey,Ocean County,2999,2690,276,0.906945381,0.093054619,79756,307700,21043.0398,14796,21684,2813.000155,14732.44059,2828.74686,32658.52851,3006.59153,4722,8315.399576,Stafford Township,0.005222856
107,34,29,735103,34029735103,39.663419,-74.2355238,New Jersey,Ocean County,2079,1997,230,0.896722048,0.103277952,62985,438000,15056.7939,14508,15120,4124.593464,11634.51992,5607.711292,27141.34203,2552.782281,6103,6599.561871,Stafford Township,0.001936308
